,Unnamed: 0.1,name,sex,candidate_id,region_id
0,0,Mohamad Olivier,male,2,22
1,1,Ulrich Dumont,male,3,34
2,2,Catherine Petit,female,1,3
3,3,Lars Bourgeois,male,3,14
4,4,Kerstin Robert,female,4,15
5,5,Theresia Caron,female,2,4
6,6,Sina Lefevre,female,2,18
7,7,Elisa Nicolas,female,3,10
8,8,Mario Le Gall,male,3,34
9,9,Joaquim Roger,male,3,23
10,10,Emma Henry,female,2,27
11,11,Monica Boyer,female,3,25
12,12,Germaine Barbier,female,1,15
13,13,Pierre Brunet,male,1,19
14,14,Mirella Martinez,female,1,20
15,15,Filipe Durand,male,4,10
16,16,Jean-Jacques Fontai,male,1,3
17,17,Violeta Menard,female,3,5
18,18,Marlene Hubert,female,3,28
19,19,Annamaria Nicolas,female,2,24
20,20,Steven Barbier,male,1,19
21,21,Osman Lambert,male,2,4
22,22,Fabian Lemaire,male,1,23
23,23,Fabian Joly,male,1,8
24,24,Luca Rey,male,4,27
25,25,Tony Gauthier,male,4,33
26,26,Lynn Bonnet,female,1,7
27,27,Nolan Noel,male,3,26
28,28,Giuseppa Dupont,female,3,30
29,29,Gaetano Mathieu,male,4,30
30,30,Patrik Nguyen,male,4,22
31,31,Timo Nguyen,male,2,1
32,32,Niels Robert,male,4,3
33,33,Jason Meunier,male,1,32
34,34,Sybille Martin,female,3,11
35,35,Cinzia Brunet,female,2,34
36,36,Katja Pierre,female,2,13
37,37,Arno Le Gall,male,1,34
38,38,Gianna Lemaire,female,3,29
39,39,Marina Le Gall,female,1,6
40,40,Germaine Noel,female,2,32
41,41,Amelie Guillot,female,4,14
42,42,Christina Robert,female,4,13
43,43,Diogo Dumas,male,2,11
44,44,Ahmet Muller,male,1,1
45,45,Mark Caron,male,4,19
46,46,Helmut Gonzalez,male,1,24
47,47,Albin Roy,male,1,9
48,48,Micheline Fernandez,female,4,2
49,49,Ingeborg Aubert,female,1,3
50,50,Harry Francois,male,1,9
51,51,Katarina Roux,female,4,25
52,52,Oscar Roche,male,3,25
53,53,Nuno David,male,3,28
54,54,Astrid Adam,female,4,7
55,55,Rémy Robert,male,4,14
56,56,Élise Blanchard,female,1,14
57,57,Gilles Fleury,male,2,10
58,58,Hannah Noel,female,2,2
59,59,Louisa Pierre,female,2,18
60,60,Petar Riviere,male,2,11
61,61,Samuel Garcia,male,4,13
62,62,Roy Legrand,male,1,22
63,63,Juliette Durand,female,3,6
64,64,Marlon Martin,male,3,30
65,65,Anisa Dumont,female,2,1
66,66,Gina Gauthier,female,1,2
67,67,Anne-Lise Lacroix,female,4,27
68,68,Lucien Le Gall,male,1,8
69,69,Leila Philippe,female,2,4
70,70,Alina Garnier,female,2,7
71,71,Amir Boyer,male,4,31
72,72,Thomas Lemoine,male,2,25
73,73,Markus Gerard,male,3,15
74,74,Léo Nguyen,male,1,18
75,75,Jeannette Gauthier,female,2,23
76,76,Romeo Fernandez,male,1,16
77,77,Josefa Lemoine,female,1,6
78,78,Ekaterina Guillot,female,4,19
79,79,Dieter Leclercq,male,1,19
80,80,Grégory Roux,male,1,14
81,81,Giuliana Hubert,female,3,30
82,82,Justine Fleury,female,4,21
83,83,Marlies Durand,female,4,16
84,84,Emanuel Roger,male,3,22
85,85,Carlos Meunier,male,4,17
86,86,Malin Philippe,female,1,14
87,87,Samuele Francois,male,4,32
88,88,Diane Francois,female,3,16
89,89,Fernanda Francois,female,2,10
90,90,Katrin Lecomte,female,4,21
91,91,Cornelia Lemoine,female,2,7
92,92,Manon Barbier,female,2,4
93,93,Gertrud Riviere,female,1,9
94,94,Joanna Bourgeois,female,2,9
95,95,Yolande Bourgeois,female,3,14
96,96,Karl Legrand,male,2,5
97,97,Jérémie Aubert,male,4,9
