,voter_name,gender,candidate_id,region_id,candidate_name,party_id,province,party_name,vote_values
0,Mohamad Olivier,male,2,22,Dylan Dufour,2,Sulawesi Utara,Partai Republik Nasionalis Nusantara,1
1,Ulrich Dumont,male,3,34,Nando Gauthier,3,Papua,Partai Amanat Indonesia,1
2,Catherine Petit,female,1,3,Jasmina Lemoine,1,Sumatera Barat,Partai Sosial Demokrasi Indonesia,1
3,Lars Bourgeois,male,3,14,Nando Gauthier,3,Jawa Tengah,Partai Amanat Indonesia,1
4,Kerstin Robert,female,4,15,Pirmin Petit,4,DI Yogyakarta,Partai Kerjasama dan Utusan Rakyat,1
5,Theresia Caron,female,2,4,Dylan Dufour,2,Riau,Partai Republik Nasionalis Nusantara,1
6,Sina Lefevre,female,2,18,Dylan Dufour,2,Kalimantan Tengah,Partai Republik Nasionalis Nusantara,1
7,Elisa Nicolas,female,3,10,Nando Gauthier,3,Lampung,Partai Amanat Indonesia,1
8,Mario Le Gall,male,3,34,Nando Gauthier,3,Papua,Partai Amanat Indonesia,1
9,Joaquim Roger,male,3,23,Nando Gauthier,3,Gorontalo,Partai Amanat Indonesia,1
10,Emma Henry,female,2,27,Dylan Dufour,2,Sulawesi Tenggara,Partai Republik Nasionalis Nusantara,1
11,Monica Boyer,female,3,25,Nando Gauthier,3,Sulawesi Selatan,Partai Amanat Indonesia,1
12,Germaine Barbier,female,1,15,Jasmina Lemoine,1,DI Yogyakarta,Partai Sosial Demokrasi Indonesia,1
13,Pierre Brunet,male,1,19,Jasmina Lemoine,1,Kalimantan Selatan,Partai Sosial Demokrasi Indonesia,1
14,Mirella Martinez,female,1,20,Jasmina Lemoine,1,Kalimantan Timur,Partai Sosial Demokrasi Indonesia,1
15,Filipe Durand,male,4,10,Pirmin Petit,4,Lampung,Partai Kerjasama dan Utusan Rakyat,1
16,Jean-Jacques Fontai,male,1,3,Jasmina Lemoine,1,Sumatera Barat,Partai Sosial Demokrasi Indonesia,1
17,Violeta Menard,female,3,5,Nando Gauthier,3,Kep. Riau,Partai Amanat Indonesia,1
18,Marlene Hubert,female,3,28,Nando Gauthier,3,Bali,Partai Amanat Indonesia,1
19,Annamaria Nicolas,female,2,24,Dylan Dufour,2,Sulawesi Tengah,Partai Republik Nasionalis Nusantara,1
20,Steven Barbier,male,1,19,Jasmina Lemoine,1,Kalimantan Selatan,Partai Sosial Demokrasi Indonesia,1
21,Osman Lambert,male,2,4,Dylan Dufour,2,Riau,Partai Republik Nasionalis Nusantara,1
22,Fabian Lemaire,male,1,23,Jasmina Lemoine,1,Gorontalo,Partai Sosial Demokrasi Indonesia,1
23,Fabian Joly,male,1,8,Jasmina Lemoine,1,Kep. Bangka Belitung,Partai Sosial Demokrasi Indonesia,1
24,Luca Rey,male,4,27,Pirmin Petit,4,Sulawesi Tenggara,Partai Kerjasama dan Utusan Rakyat,1
25,Tony Gauthier,male,4,33,Pirmin Petit,4,Papua Barat,Partai Kerjasama dan Utusan Rakyat,1
